,ID,KDA,参团,输出,承伤,发育
0,DYG.久诚,10.0,7.588726513569938,10.0,4.220183486238532,8.172458172458173
1,AG超玩会.笑影,8.695652173913043,8.006263048016702,6.868747200238913,3.926294510962525,7.773487773487774
2,GK.青枫,8.405797101449275,7.818371607515658,8.187248021502166,3.823666614834396,7.528957528957529
3,RNGM.暴风锐,8.115942028985506,7.797494780793319,7.248021502165148,3.823666614834396,7.5804375804375805
4,LGD大鹅.江城,8.115942028985506,7.473903966597078,7.7855756308794986,5.303996268076505,9.806949806949808
5,QGhappy.妖刀,7.826086956521738,7.67223382045929,7.799014484097357,5.027211942155186,9.227799227799228
6,TTG.XQ.钎城,7.6811594202898545,7.724425887265136,7.98715842914738,4.593375835795366,9.176319176319176
7,TS.诗酒,7.6811594202898545,7.78705636743215,7.406301328953263,5.156274296376925,9.832689832689832
8,DYG.易峥,7.536231884057971,7.90187891440501,8.796476034045094,5.661638936401804,9.742599742599742
9,TS.闪光,6.956521739130435,6.9519832985386225,7.088248469463939,4.496967812159851,8.867438867438867
10,RW侠.Yguo,6.956521739130435,7.379958246346556,6.919516201284157,3.5997512051002953,7.245817245817245
11,RNGM.天真,6.811594202898551,6.816283924843424,6.9105569658055845,4.391229979785415,7.541827541827542
12,TTG.XQ.Lin...,6.811594202898551,7.640918580375783,7.924443780797372,3.8314414554501632,7.696267696267697
13,RW侠.Huayun,6.811594202898551,7.421711899791232,6.8657607884127225,4.2326232312237595,8.88030888030888
14,LGD大鹅.晨阳,6.666666666666666,6.7954070981210855,4.034642377183814,6.215207588244441,9.588159588159588
15,AG超玩会.最初,6.666666666666666,10.0,1.6096759743168583,9.497745296221428,5.199485199485199
16,TTG.XQ.九尾,6.666666666666666,7.004175365344468,6.759743168582948,3.993158140258125,8.198198198198199
17,RNGM.虔诚,6.521739130434782,7.912317327766179,8.093176048977154,5.831130461825532,10.0
18,QGhappy.77...,6.521739130434782,7.494780793319416,1.863520979543079,7.721971699580158,5.250965250965251
19,LGD大鹅.清凡,6.231884057971014,6.826722338204593,2.0128415708526206,7.277250816358265,6.010296010296011
20,YTG.夏天,6.08695652173913,7.546972860125261,6.906077348066298,4.4036697247706424,9.382239382239382
21,LGD大鹅.一梦,6.08695652173913,7.160751565762005,6.619381812751978,4.010262789612813,7.4774774774774775
22,AG超玩会.爱思,5.942028985507246,7.849686847599165,2.0412124832014333,8.09360908101384,5.662805662805662
23,WE.Best,5.942028985507246,6.7954070981210855,7.924443780797372,4.524957238376613,8.841698841698841
24,TES.小鹏,5.942028985507246,7.254697286012527,6.8791996416305805,4.6602394650909655,8.944658944658945
25,WE.小A,5.942028985507246,7.171189979123174,7.861729132447365,4.343025967967657,7.297297297297297
26,VG.十三,5.797101449275362,7.0354906054279756,6.6268478423174555,4.675789146322501,9.034749034749035
27,Hero.月色,5.797101449275362,7.286012526096034,6.676123637449605,4.075571450785259,7.335907335907336
28,QGhappy.杰杰,5.797101449275362,7.828810020876827,4.957443631476781,6.392473954283937,8.983268983268983
29,AG超玩会.一诺,5.797101449275362,8.079331941544885,6.780648051366283,6.5899549059244285,9.974259974259974
30,VG.笑,5.652173913043478,7.338204592901879,6.817978199193669,3.3649510185041205,7.297297297297297
31,YTG.一曲,5.652173913043478,7.922755741127349,6.640286695535314,4.319701446120354,6.872586872586872
32,eStarPro.C...,5.652173913043478,7.578288100208768,6.144542332387636,5.229357798165138,7.812097812097812
